iter	RMSE
0	0.004191360562
1	0.004183913768
2	0.00417430708
3	0.004164240319
4	0.004155596036
5	0.004146416243
6	0.004138773521
7	0.004128987788
8	0.004120125091
9	0.004111079719
10	0.004102375734
11	0.004093771973
12	0.004084444811
13	0.004076182493
14	0.004069357998
15	0.004057563171
16	0.004045669546
17	0.004033245886
18	0.004024676157
19	0.004017227305
20	0.004009924311
21	0.003996417484
22	0.003989310757
23	0.003979887616
24	0.003971405983
25	0.003963115604
26	0.003955901534
27	0.003946020521
28	0.003936257502
29	0.003929828258
30	0.00391979433
31	0.003912154807
32	0.003904369999
33	0.003896906713
34	0.003888987454
35	0.003877501587
36	0.003869046504
37	0.003858582822
38	0.003851823106
39	0.003844587674
40	0.0038357242
41	0.003826749051
42	0.003819152421
43	0.003811695824
44	0.003803145133
45	0.003795588628
46	0.003786906444
47	0.003780101147
48	0.00377021556
49	0.003762203878
50	0.003755173006
51	0.00374606281
52	0.003737805223
53	0.003731049941
54	0.003719087257
55	0.00371137785
56	0.003701746224
57	0.003693757693
58	0.003686121719
59	0.003674289966
60	0.003667969632
61	0.003661584901
62	0.003653454001
63	0.003643044955
64	0.003633175435
65	0.003624271917
66	0.003616642985
67	0.003610959532
68	0.003601590652
69	0.003594798805
70	0.003587148415
71	0.003580780162
72	0.003577320138
73	0.003570651123
74	0.003562208956
75	0.00355488337
76	0.003548917075
77	0.00354171234
78	0.003534832228
79	0.003527176001
80	0.003520128163
81	0.003512263334
82	0.003506259897
83	0.003498532746
84	0.003493522174
85	0.003484173778
86	0.003476610796
87	0.003468602474
88	0.003460737812
89	0.003453431059
90	0.003448292355
91	0.003439496481
92	0.003432022665
93	0.003424886259
94	0.003418569311
